codlogradouro;nome_logradouro_concatenado;nome_oficial_logradouro;nome_logradouro_resumido;cod_indica_pavimentacao;desc_indica_pavimentacao;indica_corredor_transporte;indica_perimetral;codbairro;nomeBairro
88919;PTE DE DOIS IRMAOS;Ponte de Dois Irmãos;Pte de Dois Irmãos;S;Via Pavimentada;;;590;DOIS IRMAOS
88927;PTE RIVALDO DE CARVALHO;Ponte Rivaldo de Carvalho;Pte Rivaldo de Carvalho;S;Via Pavimentada;;;167;GRACAS
88935;PTE RAIMUNDO FARIAS;Ponte Raimundo Farias;Pte Raimundo Farias;S;Via Pavimentada;;;167;GRACAS
74497;RUA CEZARIA CAMPELLO;Rua Cezária Campello;R. Cezaria Campello;N;Via Não Pavimentada;;;698;IPUTINGA
74500;RUA DAVID NASSER;Rua David Nasser;R. David Nasser;N;Via Não Pavimentada;;;698;IPUTINGA
74519;TRV BARROS REGO;Travessa Barros Rego;Trv Barros Rego;N;Via Não Pavimentada;;;892;TEJIPIO
74527;RUA PESQUEIRO;Rua Pesqueiro;R. Pesqueiro;N;Via Não Pavimentada;;;698;IPUTINGA
74535;3TR GENERAL MENA BARRETO;3ª Travessa General Mena Barreto;3Tr Gal Mena Barreto;N;Via Não Pavimentada;;;698;IPUTINGA
74543;TRV DR JOSE ANASTACIO DA SILVA GUIMARAES;Travessa Doutor José Anastácio da Silva Guimarã;Trv Dr José Anastácio da Silva Guimarães;P;Via Parcialmente Pavimentada;;;698;IPUTINGA
74560;ALA SAO FRANCISCO SALLES;Rua Alameda São Francisco Salles;Ala São Francisco Salles;X;Não definida;;;850;AREIAS
74608;RUA GUIRICEMA;Rua Guiricema;R. Guiricema;S;Via Pavimentada;;;396;DOIS UNIDOS
74616;RUA GUAI;Rua Guai;R. Guai;S;Via Pavimentada;;;396;DOIS UNIDOS
74624;RUA BACURITI;Rua Bacuriti;R. Bacuriti;S;Via Pavimentada;;;396;DOIS UNIDOS
74632;RUA ANITA FERREIRA DA SILVA;Rua Anita Ferreira da Silva;R. Anita Ferreira da Silva;N;Via Não Pavimentada;;;850;AREIAS
74659;RUA CONS CARIPI;Rua Conselheiro Caripi;R. Cons Caripi;S;Via Pavimentada;;;345;FUNDAO
74667;1TR AVENCA;1ª Travessa Avenca;1Tr Avenca;S;Via Pavimentada;;;515;MANGABEIRA
74675;VIL DO SOSSEGO;Vila do Sossego;Vila do Sossego;N;Via Não Pavimentada;;;329;ARRUDA
74683;RUA JENIPAPO;Rua Jenipapo;R. Jenipapo;S;Via Pavimentada;;;337;AGUA FRIA
